http://www.petrispourhouse.com,Laura L.,Petri’s Pour House,436 N Chestnut St,Minonk,61760,(309) 432-2332,IL, Mon 11:00 am - 9:00 pm ||Tue 11:00 am - 9:00 pm Closed now ||Wed 11:00 am - 9:00 pm ||Thu 11:00 am - 9:00 pm ||Fri 11:00 am - 12:00 am ||Sat 11:00 am - 12:00 am ||Sun 3:00 pm - 9:00 pm,$$$ || $,-89.03417744,40.90220406,4,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Accepts Android Pay --> No | Accepts Bitcoin --> No | Parking --> Street | Bike Parking --> No | Wheelchair Accessible --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Happy Hour --> Yes | Coat Check --> No | Smoking --> Outdoor Area / Patio Only | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Dogs Allowed --> No | Waiter Service --> Yes | Caters --> Yes , Established in 2010.,"Pizza , Pubs , Burgers",Bars,6,11-04-2017,http://www.yelp.com/user_details?userid=A9TprJ2_3YlsvcHWzoXxlQ,wJkLFaieiFjDhNgLtWTNtw
http://www.rootspizza.com,Veronica F.,Roots Handmade Pizza,2200 W Lawrence Ave,Chicago,60625,(773) 433-5959,IL, Mon 11:00 am - 12:00 am ||Tue 11:00 am - 12:00 am Closed now ||Wed 11:00 am - 12:00 am ||Thu 11:00 am - 12:00 am ||Fri 11:00 am - 2:00 am ||Sat 11:00 am - 2:00 am ||Sun 11:00 am - 12:00 am,$$ || $$,-87.684261,41.968974,3.5,"Takes Reservations --> Yes | Delivery --> Yes | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Accepts Android Pay --> Yes | Good For --> Lunch, Dinner | Parking --> Street | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Average | Good For Dancing --> No | Alcohol --> Full Bar | Happy Hour --> Yes | Best Nights --> Fri, Sat, Sun | Coat Check --> No | Smoking --> No | Outdoor Seating --> Yes | Wi-Fi --> Free | Has TV --> Yes | Waiter Service --> Yes | Caters --> Yes | Has Pool Table --> No ",,"Pizza , Salad , Bars",Bars,252,1/28/2018,http://www.yelp.com/user_details?userid=hVtbA0zgQvZN4vmrUu0vBQ,CCGciZDcxIFg455-ggDDHg
,Erica M.,Smitty’s Bar & Grill,Co Hwy 44,Leonore,61370,(815) 856-2030,IL,,$$$ || $,-88.98030643,41.18874192,4.5,Takes Reservations --> No | Delivery --> Yes | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Noise Level --> Average | Alcohol --> Full Bar | Outdoor Seating --> Yes | Wi-Fi --> No | Has TV --> Yes ,,"Pubs , American (Traditional)",Bars,6,6/26/2017,http://www.yelp.com/user_details?userid=HGewrAIFu-zHzKf7xmoWHw,LuLRExeqFNrngWTO3sXb3Q
http://woodysfamilyrestaurant.com/,Gordon D.,Woody’s Family Restaurant,1311 N Carolyn Dr,Minonk,61760,(309) 432-3815,IL, Mon 6:00 am - 10:00 pm ||Tue 6:00 am - 10:00 pm Closed now ||Wed 6:00 am - 10:00 pm ||Thu 6:00 am - 10:00 pm ||Fri 6:00 am - 10:00 pm ||Sat 6:00 am - 10:00 pm ||Sun 6:00 am - 10:00 pm,$$$ || $,-89.05398156,40.91296078,3,Takes Reservations --> Yes | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Good For --> Brunch | Parking --> Private Lot | Bike Parking --> Yes | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Ambience --> Casual | Noise Level --> Quiet | Alcohol --> No | Outdoor Seating --> No | Wi-Fi --> Free | Has TV --> Yes | Caters --> Yes , Established in 1999.,"American (Traditional) , Breakfast & Brunch , Mexican",Bars,14,8/25/2017,http://www.yelp.com/user_details?userid=-wBYsASvc9iU8o4FA4dryw,zSlpveDFeNZfZw4q0DOdfA
,The S.,Rainbo Club,1150 N Damen Ave,Chicago,60622,(773) 489-5999,IL, Mon 4:00 pm - 2:00 am ||Tue 4:00 pm - 2:00 am Closed now ||Wed 4:00 pm - 2:00 am ||Thu 4:00 pm - 2:00 am ||Fri 4:00 pm - 2:00 am ||Sat 4:00 pm - 3:00 am ||Sun 4:00 pm - 2:00 am,$$$ || $,-87.6774696,41.9027718,3.5,"Takes Reservations --> No | Accepts Credit Cards --> No | Accepts Apple Pay --> No | Accepts Android Pay --> No | Parking --> Street | Bike Parking --> Yes | Good for Groups --> Yes | Ambience --> Divey, Hipster | Noise Level --> Average | Alcohol --> Full Bar | Happy Hour --> No | Outdoor Seating --> No | Wi-Fi --> No | Has TV --> No | Has Pool Table --> No ",,Dive Bars,Bars,304,09-07-2017,http://www.yelp.com/user_details?userid=FzG8gtOZcPdqXrPq1joiyQ,EaCNpV5IJFIl7hBUBpCDjw
,,Knotty Pine Bar & Grill,103 W 2nd St,Assumption,62510,(217) 226-3495,IL,,,-89.0498373,39.519063,,,,Bars,Bars,,,,5NELvDmHQ7MLiEsq0G51Jw
,Glenn W.,Kathy’s Korner Pub,422 W Main St,Mc Nabb,61335,(815) 882-2591,IL,,,-89.2103177,41.1767606,5,,,Pubs,Bars,1,08-05-2014,http://www.yelp.com/user_details?userid=KIq2JTWwD_ol7DwusTCH_g,QoRMPmokRP0MRXZpbNgodw
,,C & J Lounge,133 S Jefferson St,Washburn,61570,(309) 248-7146,IL,,,-89.2911641,40.9185754,,,,Bars,Bars,,,,c4VLh_Be9fCaJtO7_rlkpw
http://www.draftsportsbarandgrill.com,Brad n.,The Draft Sports Bar & Grill,5180 Hickory Point Frontage Rd,Decatur,62526,(217) 791-5364,IL, Mon 11:00 am - 10:00 pm ||Tue 11:00 am - 10:00 pm Closed now ||Wed 11:00 am - 10:00 pm ||Thu 11:00 am - 10:00 pm ||Fri 11:00 am - 11:00 pm ||Sat 11:00 am - 11:00 pm ||Sun 11:00 am - 10:00 pm,$$ || $$,-88.9547136,39.9127846,3,Takes Reservations --> No | Delivery --> No | Take-out --> Yes | Accepts Credit Cards --> Yes | Bike Parking --> No | Good for Kids --> Yes | Good for Groups --> Yes | Attire --> Casual | Good For Dancing --> No | Happy Hour --> Yes | Outdoor Seating --> Yes | Wi-Fi --> Free | Has TV --> Yes | Drive-Thru --> No ,,"Sports Bars , Burgers",Bars,17,10-11-2017,http://www.yelp.com/user_details?userid=laUuydLPnfXzwpeQxxjtUQ,UF04xgNLm9kOKpXuZokObw
http://www.infusiondecatur.com,Ashley H.,Infusion Bar & Banquet Center,2882 N Dineen St,Decatur,62526,(217) 875-2416,IL, Mon Closed ||Tue Closed ||Wed 3:00 pm - 12:00 am ||Thu 3:00 pm - 12:00 am ||Fri 3:00 pm - 2:00 am ||Sat 3:00 pm - 2:00 am ||Sun Closed,$$ || $$,-88.9311369,39.8752759,3.5,Takes Reservations --> Yes | Accepts Credit Cards --> Yes | Accepts Apple Pay --> No | Accepts Bitcoin --> No | Parking --> Private Lot | Bike Parking --> Yes | Good for Groups --> Yes | Alcohol --> Full Bar | Outdoor Seating --> Yes | Wi-Fi --> Free | Has TV --> Yes , Established in 2016.,"Bars , Venues & Event Spaces",Bars,3,4/16/2017,http://www.yelp.com/user_details?userid=fmi42r92CZJJiDQOOp5VjA,c0l_t99hr2AY4nH4X6KizA
